auth_code,subreq_id,aua,sa,asa,ver,tid,license_id,req_datetime,tkn_used_flag,tkn_type,pid_ts,pid_ver,pi_uses_flag,pa_uses_flag,pfa_uses_flag,bio_uses_flag,bt_fmr_uses_flag,bt_fir_uses_flag,bt_iir_uses_flag,pin_uses_flag,otp_uses_flag,pi_used_flag,pa_used_flag,pfa_used_flag,bio_used_flag,bt_fmr_used_flag,bt_fir_used_flag,bt_iir_used_flag,pin_used_flag,otp_used_flag,otp_identifier,lang,pi_name_used_flag,pi_ms,pi_mv,pi_match_score,pi_lname_used_flag,pi_lname_ms,pi_lname_mv,pi_lname_match_score,pi_phone_used_flag,pi_email_used_flag,pi_gender_used_flag,pi_gender,pi_dob_used_flag,pi_dob,pi_dobt_used_flag,pi_dobt,pi_age_used_flag,pi_age,pfa_addr_used_flag,pfa_addr_ms,pfa_addr_mv,pfa_match_score,pfa_laddr_used_flag,pfa_laddr_ms,pfa_laddr_mv,pfa_laddr_match_score,pa_ms,pa_co_used_flag,pa_house_used_flag,pa_street_used_flag,pa_lm_used_flag,pa_loc_used_flag,pa_vtc_used_flag,pa_vtc,pa_po_used_flag,pa_po,pa_subdist_used_flag,pa_subdist,pa_dist_used_flag,pa_dist,pa_state_used_flag,pa_state,pa_pc_used_flag,pa_pc,fmr_count,fir_count,iir_count,finger_match_score,uidai_tfmr,aua_tfmr,finger_match_threshold,fmr_gall_type,fmr_gall_vendor,fmr_sdk_vendor,fmr_sdk_version,fir_gall_type,fir_gall_vendor,fir_sdk_vendor,fir_sdk_version,iir_gall_type,iir_gall_vendor,iir_sdk_vendor,iir_sdk_version,auth_result,error_code,error_classfn,resp_datetime,auth_duration,fdc,idc,udc,locn_lat,locn_lng,locn_vtc_code,locn_subdist_code,locn_dist_code, locn_state_code,locn_pc, enr_ref_id,res_gender,res_birth_day,res_birth_month,res_birth_year,res_dob,res_dobt,res_age,res_pincode,res_vtc_code,res_vtc_name,res_po_name,res_subdist_code,res_subdist_name,res_dist_code,res_dist_name,res_state_code,res_state_name,uid_gen_date,txn,auth_type,hash_uid,locn_alt,lot,bfd_done_flag,finger_matching_type,finger_fusion_perfomed,iris_match_score,iris_threshold,iris_matching_type,iris_fusion_perfomed,auth_xml_size,pid_size,data_type,skey_scheme,ssk_type,ki,kyc_flag
95fe167618534c47b979818ae914e852,1,490000,0000490AWZ,1400,1.6,public,0000490000:1,2015-06-03T00:00:04,0,,2015-06-02T23:57:37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,23,0,,,,0,,,,0,0,0,,0,,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,1,,,62,,,42,ISO,Accenture,Accenture,v4.6,,,,,,,,,y,,,2015-06-03T00:00:05,1135,NC,NA,DA0091,,,,,,,462026,e1733d7d-64f1-4b1e-902c-cfc83c836398,M,1,1,1963,1/1/1963,A,52,462010,2.33203E+13,Huzur,Sikandri Sarai,233202,Huzur,2332,Bhopal,23,Madhya Pradesh,2012-11-02T12:46:01,SUBAUAMBE1433269746953,F,NA,,P,0,SUT,0,,,,0,5393,574,X,N,,,0,
835cc94e920a40e197981c818f3855e2,1,340000,SERVICEMON,1200,1.6,public,0000340000:6,2015-06-03T00:00:03,0,,2015-06-03T00:00:03,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,,0,,,,0,,,,0,0,0,,0,,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,1,,,,,,,,,,,,,NATIVE,L1,L1,QSSEngine2.0.27,y,,,2015-06-03T00:00:05,1405,NC,NC,AUTHMON-Prod-GNDC,,,,,,,560103,df56b62e-7ce5-4703-8284-a5641810485a,M,29,11,1984,11/29/1984,V,30,305624,8.2105E+12,Baral,Bijainagar,82105,Masuda,821,Ajmer,8,Rajasthan,2013-02-09T04:06:05,UASMON:0000340000:20150603120003552,I,NA,,P,1,,0,122.7005428,42,SUT,0,38187,25884,X,N,,,0,
92ddd4ad42ca4ec8b91886364b2d51fe,1,340000,SERVICEMON,1200,1.6,public,0000340000:6,2015-06-03T00:00:06,0,,2015-06-03T00:00:05,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,,0,,,,0,,,,0,0,0,,0,,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,1,,,,,,,,,,,,,NATIVE,L1,L1,QSSEngine2.0.27,n,300,,2015-06-03T00:00:06,375,NC,NC,AUTHMON-PRODBDC-01,,,,,,,560103,df56b62e-7ce5-4703-8284-a5641810485a,M,29,11,1984,11/29/1984,V,30,305624,8.2105E+12,Baral,Bijainagar,82105,Masuda,821,Ajmer,8,Rajasthan,2013-02-09T04:06:05,UASMON:0000340000:20150603120006025,I,NA,,P,1,,0,0,42,SLT,0,6656,2230,X,N,,,0,
bef9fd70a5fa40e4a205386add64dfb9,1,140000,140000,500,1.6,public,0000140000:18,2015-06-03T00:00:07,0,,2015-06-02T23:58:50,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,,0,,,,0,,,,0,0,0,,0,,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,1,,,49,,,42,ISO,Accenture,Accenture,v4.6,,,,,,,,,y,,,2015-06-03T00:00:07,177,NC,NC,PB100205004,,,,,,,508218,1a61a845-4234-41e8-8287-5de30fa296fd,M,1,1,1953,1/1/1953,A,62,508218,586547,Dirsencherla,Dirsencharla,4822,Neredcherla,528,Nalgonda,28,Andhra Pradesh,2013-10-26T14:15:55,2.01506E+16,F,NA,,P,0,SLT,0,,,,0,4275,457,X,N,,,0,
7b03669d50c540d7b1e3204681957286,1,490000,490000,1400,1.6,public,0000490000:5,2015-06-03T00:00:08,0,,2015-06-03T00:06:21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,b1eaea2a0b0e4ecab7b1edd43609f0e4,,0,,,,0,,,,0,0,0,,0,,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,y,,,2015-06-03T00:00:08,292,NA,NA,CSC000000000001,,,,,,,110003,bebcb2cf-5992-4642-bcba-fc2d1010075d,M,1,1,1950,1/1/1950,A,65,226004,09-0927-D77FE792E1EFC8CF475CC1BD2E9BDA58,LUCKNOW,,,,927,Lucknow,9,Uttar Pradesh,2012-02-28T05:23:02,UKC:CSC-DEM-03062015-052755-000414048,O,NA,,P,0,,0,,,,0,4969,229,X,N,,,1,
3d8b2a60b8ca4de4852669377b0b6f3f,1,STG1234STG,340000,1200,1.6,public,,2015-06-03T00:00:09,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,0,0,0,,0,,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,n,530,,2015-06-03T00:00:09,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UASMON:STG1234STG:20150603120009869,,NA,,,,,0,,,,0,0,0,,,,,0,
c31a04666ee249d8b9f29ec5806a9d8c,1,740000,740000,1100,1.6,public,0000740000:0,2015-06-03T00:00:11,0,,2015-06-02T23:59:14,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,23,0,,,,0,,,,0,0,0,,0,,0,,0,,1,P,60,0,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,n,200,,2015-06-03T00:00:11,102,NC,NA,UIDAI:SampleClient,,,,,,,560103,40b495a3-3fc8-44fc-861a-ebf3c3fcbd05,M,17,4,1985,4/17/1985,D,30,143001,3.02027E+12,Amritsar -I,Amritsar,,,302,Amritsar,3,Punjab,2011-11-14T04:33:48,TU:PFA:2015-06-02T23:59:14,D,NA,,P,0,,0,,,,0,4350,203,X,N,,,0,
a5aa1037e51545b996451abf96f2207a,1,740000,740000,1100,1.6,public,0000740000:0,2015-06-03T00:00:14,0,,2015-06-02T23:59:17,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,23,0,,,,0,,,,0,0,0,,0,,0,,0,,1,P,55,0,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,n,200,,2015-06-03T00:00:14,166,NC,NA,UIDAI:SampleClient,,,,,,,560103,0453a809-3248-4985-a284-005d814beada,M,20,11,1966,11/20/1966,D,48,506101,597615,Mahabubabad,Mahabubabad,5119,Mahabubabad,535,Warangal,28,Andhra Pradesh,2013-08-25T19:28:23,TU:PFA:2015-06-02T23:59:17,D,NA,,P,0,,0,,,,0,4414,242,X,N,,,0,
5dbbfc82c54f4a60b96d405097f48464,1,270000,NSDLSA0011,1100,1.6,public,0000270000:4,2015-06-03T00:00:17,0,,2015-06-02T23:59:20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,23,1,P,100,0,0,,,,0,0,1,M,1,1996,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,n,100,,2015-06-03T00:00:17,58,NC,NA,8800299,,,,,,,400013,4285c16b-7d71-4f03-b1d2-229bdf852a0c,M,7,5,1996,5/7/1996,D,19,600091,669966,Ullagaram,Madipakkam,5825,Sholinganallur,591,Kancheepuram,33,Tamil Nadu,2013-12-08T18:53:08,3.36976E+15,D,NA,,P,0,,0,,,,0,4422,257,X,N,,,0,
7f9d928a49384c82a5ab7f0f4721d209,1,740000,740000,1100,1.6,public,0000740000:0,2015-06-03T00:00:20,0,,2015-06-02T23:59:20,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,23,1,P,60,100,0,,,,0,0,1,M,1,1978,0,,0,,0,,,,0,,,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,y,,,2015-06-03T00:00:20,230,NC,NA,UIDAI:SampleClient,,,,,,,560103,fe3d5738-0c54-424c-9b85-274983ac2b75,M,12,12,1978,12/12/1978,D,36,400094,2.72302E+13,Anu Shakti Nagar,,,,2723,Mumbai,27,Maharashtra,2011-09-27T05:25:42,TU:POI:2015-06-02T23:59:20,D,NA,,P,0,,0,,,,0,4326,181,X,N,,,0,
